GEOID,display_name,LEVEL,homeless_k12_avg,homeless_k12_2020,bedscode,county_name,composition
3626370,North Shore Central School District,UNSD,0.0,0.0,280501060000,NASSAU,[]
3626400,Seaford Union Free School District,UNSD,2.0,0.0,280206030000,NASSAU,[]
3629280,Uniondale Union Free School District,UNSD,170.66666666666666,295.0,280202030000,NASSAU,[]
3629850,Wantagh Union Free School District,UNSD,3.6666666666666665,0.0,280223030000,NASSAU,[]
3614280,Herricks Union Free School District,UNSD,2.6666666666666665,0.0,280409030000,NASSAU,[]
3617160,Levittown Union Free School District,UNSD,40.333333333333336,40.0,280205030000,NASSAU,[]
3630960,Westbury Union Free School District,UNSD,86.0,83.0,280401030000,NASSAU,[]
3631710,Hewlett-Woodmere Union Free School District,UNSD,24.666666666666668,19.0,280214030000,NASSAU,[]
3617700,Locust Valley Central School District,UNSD,0.0,0.0,280503060000,NASSAU,[]
3617910,Lynbrook Union Free School District,UNSD,15.666666666666666,10.0,280220030000,NASSAU,[]
3618210,Malverne Union Free School District,UNSD,25.666666666666668,22.0,280212030000,NASSAU,[]
3618270,Manhasset Union Free School District,UNSD,2.3333333333333335,0.0,280406030000,NASSAU,[]
3622290,Oyster Bay-East Norwich Central School District,UNSD,20.0,0.0,280506060000,NASSAU,[]
3623190,Plainedge Union Free School District,UNSD,20.666666666666668,23.0,280518030000,NASSAU,[]
3623220,Plainview-Old Bethpage Central School District,UNSD,0.6666666666666666,0.0,280504060000,NASSAU,[]
3623580,Port Washington Union Free School District,UNSD,65.0,60.0,280404030000,NASSAU,[]
3624780,Rockville Centre Union Free School District,UNSD,34.666666666666664,32.0,280221030000,NASSAU,[]
3615090,Huntington Union Free School District,UNSD,81.66666666666667,37.0,580403030000,SUFFOLK,[]
3624990,Roosevelt Union Free School District,UNSD,177.0,148.0,280208030000,NASSAU,[]
3625050,Roslyn Union Free School District,UNSD,3.6666666666666665,0.0,280403030000,NASSAU,[]
3618630,Massapequa Union Free School District,UNSD,20.0,16.0,280523030000,NASSAU,[]
3608160,Connetquot Central School District,UNSD,100.0,82.0,580507060000,SUFFOLK,[]
3609660,East Hampton Union Free School District,UNSD,0.0,0.0,580301020000,SUFFOLK,[]
3613980,Hauppauge Union Free School District,UNSD,68.66666666666667,63.0,580506030000,SUFFOLK,[]
3619200,Middle Country Central School District,UNSD,115.33333333333333,119.0,580211060000,SUFFOLK,[]
3619230,Longwood Central School District,UNSD,322.3333333333333,302.0,580212060000,SUFFOLK,[]
3620040,Mount Sinai Union Free School District,UNSD,0.0,0.0,,SUFFOLK,[]
3622470,Patchogue-Medford Union Free School District,UNSD,180.33333333333334,165.0,580224030000,SUFFOLK,[]
3624690,Riverhead Central School District,UNSD,286.6666666666667,247.0,580602040000,SUFFOLK,[]
3625350,Sachem Central School District,UNSD,199.33333333333334,173.0,580205060000,SUFFOLK,[]
3627060,Smithtown Central School District,UNSD,28.666666666666668,21.0,580801060000,SUFFOLK,[]
3627620,Southold Union Free School District,UNSD,13.0,11.0,581005020000,SUFFOLK,[]
3628200,Three Village Central School District,UNSD,20.333333333333332,13.0,580201060000,SUFFOLK,[]
3611100,Fishers Island Union Free School District,UNSD,0.0,0.0,581004020000,SUFFOLK,[]
