GEOID,county_name,mismatch_pct,mismatch_index,need_score,access_index,poverty_rate,rent_burden_rate,renter_share,renter_occ,pop_total,lisa_mismatch_index_label
36103190605,Suffolk,100.0,2.6155,1.3801,7.0677,0.3031,0.6615,0.2569,65,640,ns
36103159415,Suffolk,99.8496,2.4948,1.8441,31.8797,0.1748,0.7921,0.8145,606,1499,HH
36059411100,Nassau,99.6992,2.4544,1.6797,22.7068,0.2025,0.6174,0.7441,1035,5075,ns
36103159509,Suffolk,99.5489,2.1019,1.2714,18.9474,0.3032,0.6444,0.1997,239,3766,HH
36103170005,Suffolk,99.3985,1.9384,0.2639,1.1278,0.0713,0.792,0.1154,125,2299,ns
36103170006,Suffolk,99.2481,1.904,0.2295,1.1278,0.0103,0.8824,0.2048,119,1591,HH
36103190502,Suffolk,99.0977,1.8878,0.2134,1.1278,0.0776,0.6133,0.1763,225,3131,HH
36103123704,Suffolk,98.9474,1.8663,1.1191,24.6617,0.255,0.73,0.1841,237,4893,HH
36103158714,Suffolk,98.797,1.8649,1.778,54.1353,0.1951,0.7386,0.7509,440,2045,ns
36103158403,Suffolk,98.6466,1.8435,0.8282,11.2782,0.1184,0.6471,0.4262,459,2494,HH
36103159106,Suffolk,98.4962,1.8302,0.9161,14.4361,0.1222,0.7494,0.4077,782,5776,HH
36103122501,Suffolk,98.3459,1.8064,1.1022,28.5714,0.1915,0.7057,0.3613,547,5545,HH
36103123201,Suffolk,98.1955,1.8037,1.0034,20.9023,0.0669,0.7979,0.5829,376,2003,HH
36103169706,Suffolk,98.0451,1.7401,0.6194,9.3233,0.146,0.7956,0.1305,318,4972,HH
36103123204,Suffolk,97.8947,1.7387,1.0181,27.0677,0.1533,0.7485,0.387,688,6264,HH
