GEOID,county_name,mismatch_pct,mismatch_index,need_score,access_index,poverty_rate,rent_burden_rate,renter_share,renter_occ,pop_total,lisa_mismatch_index_label
36059407201,Nassau,100.0,2.465,2.5781,88.2707,0.3544,0.652,0.8668,1184,4170,HH
36059517201,Nassau,99.8496,2.3446,2.4204,87.0677,0.3238,0.7502,0.792,1481,3863,HH
36103201200,Suffolk,99.6992,2.135,1.9671,37.8195,0.68,0.0,0.0,0,587,ns
36059517202,Nassau,99.5489,2.0194,1.9242,79.6992,0.3744,0.6806,0.3888,551,3668,HH
36103159415,Suffolk,99.3985,2.012,1.8441,37.8195,0.1748,0.7921,0.8145,606,1499,ns
36103158714,Suffolk,99.2481,1.9459,1.778,37.8195,0.1951,0.7386,0.7509,440,2045,ns
36059411100,Nassau,99.0977,1.8476,1.6797,37.8195,0.2025,0.6174,0.7441,1035,5075,ns
36103200906,Suffolk,98.9474,1.8353,1.6674,37.8195,0.3202,1.0,0.1816,256,3248,ns
36059406702,Nassau,98.797,1.6857,1.6516,82.406,0.2401,0.4172,0.7467,1486,4636,ns
36059406801,Nassau,98.6466,1.6618,1.7943,88.5714,0.164,0.6768,0.8836,1253,4476,HH
36103190605,Suffolk,98.4962,1.548,1.3801,37.8195,0.3031,0.6615,0.2569,65,640,ns
36103158713,Suffolk,98.3459,1.4738,1.3059,37.8195,0.2439,0.622,0.3962,418,3263,ns
36103159509,Suffolk,98.1955,1.4393,1.2714,37.8195,0.3032,0.6444,0.1997,239,3766,ns
36103159110,Suffolk,98.0451,1.3796,1.2117,37.8195,0.1396,0.6652,0.5954,914,3412,HH
36059406802,Nassau,97.8947,1.3616,1.3728,84.3609,0.1302,0.4736,0.8383,1400,5720,HH
